reg_year,dat,dat_nm,count
2022,00EQ,Cheshire East UA,15
2022,00EW,Cheshire West and Chester UA,22
2022,00KB,Bedford UA,11
2022,00KC,Central Bedfordshire UA,7
2022,A01B,Darlington,10
2022,A02B,County Durham,52
2022,A03B,Hartlepool,6
2022,A04B,Redcar and Cleveland,10
2022,A05B,Middlesbrough,20
2022,A06B,Stockton-On-Tees,15
2022,A07B,Newcastle upon Tyne,38
2022,A08B,North Tyneside,22
2022,A09B,Gateshead,24
2022,A10B,Northumberland,20
2022,A11B,South Tyneside,9
2022,A12B,Sunderland,28
2022,B01B,Salford,28
2022,B02B,Trafford,19
2022,B03B,Blackburn with Darwen,6
2022,B04B,Blackpool,36
2022,B05B,Lancashire,83
2022,B06B,Wirral,42
2022,B07B,Warrington,10
2022,B08B,Halton,10
2022,B09B,Rochdale,16
2022,B10B,St Helens,21
2022,B11B,Knowsley,25
2022,B12B,Tameside,32
2022,B13B,Oldham,17
2022,B14B,Bolton,34
2022,B15B,Bury,19
2022,B16B,Cumbria,55
2022,B17B,Liverpool,71
2022,B18B,Manchester,62
2022,B19B,Sefton,30
2022,B21B,Stockport,40
2022,B22B,Wigan,29
2022,D01B,Kingston upon Hull,35
2022,D02B,East Riding of Yorkshire,17
2022,D03B,Calderdale,22
2022,D04B,Kirklees,27
2022,D06B,York,15
2022,D07B,North Lincolnshire,7
2022,D08B,North East Lincolnshire,11
2022,D09B,Barnsley,28
2022,D10B,Wakefield,59
2022,D11B,Sheffield,40
2022,D12B,Leeds,71
2022,D13B,Bradford,42
2022,D14B,Doncaster,41
2022,D15B,Rotherham,26
2022,D16B,North Yorkshire,43
2022,E01B,Leicestershire,41
2022,E02B,Leicester,27
2022,E03B,Rutland,2
2022,E04B,Derbyshire,71
2022,E05B,Derby,30
2022,E06B,Nottinghamshire,49
2022,E07B,Nottingham,25
2022,E08B,Lincolnshire,50
2022,E10B,North Northamptonshire,20
2022,E11B,North Northamptonshire,21
2022,F01B,Shropshire,14
2022,F02B,Telford and Wrekin,20
2022,F03B,Staffordshire,45
2022,F04B,Stoke-on-Trent,23
2022,F05B,Birmingham,97
2022,F06B,Coventry,21
2022,F07B,Dudley,12
2022,F08B,Herefordshire,12
2022,F09B,Sandwell,12
2022,F10B,Solihull,9
2022,F11B,Walsall,21
2022,F12B,Warwickshire,26
2022,F13B,Wolverhampton,17
2022,F14B,Worcestershire,27
2022,G02B,Luton,12
2022,G03B,Cambridgeshire,39
2022,G04B,Peterborough,16
2022,G05B,Essex,62
2022,G06B,Southend-on-Sea,8
2022,G07B,Thurrock,6
2022,G08B,Hertfordshire,52
2022,G09B,Norfolk,70
2022,G10B,Suffolk,43
2022,H01B,Barking and Dagenham,10
2022,H02B,Havering,16
2022,H03B,Camden,24
2022,H04B,Islington,25
2022,H05B,City of London,1
2022,H06B,Hackney,18
2022,H07B,Lambeth,27
2022,H08B,Lewisham,18
2022,H09B,Southwark,22
2022,H10B,Redbridge,11
2022,H11B,Waltham Forest,9
2022,H12B,Barnet,6
2022,H13B,Bexley,7
2022,H14B,Brent,16
2022,H15B,Bromley,15
2022,H16B,Croydon,12
2022,H17B,Ealing,20
2022,H18B,Enfield,13
2022,H19B,Greenwich,13
2022,H20B,Hammersmith and Fulham,9
2022,H21B,Haringey,15
2022,H22B,Kensington and Chelsea,10
2022,H23B,Kingston upon Thames,4
2022,H24B,Merton,4
2022,H25B,Newham,15
2022,H26B,Richmond upon Thames,5
2022,H27B,Sutton,12
2022,H28B,Tower Hamlets,10
2022,H29B,Wandsworth,10
2022,H30B,Westminster,13
2022,H31B,Harrow,9
2022,H32B,Hillingdon,15
2022,H33B,Hounslow,10
2022,J01B,Bracknell Forest,3
2022,J02B,Reading,15
2022,J03B,Slough,6
2022,J04B,West Berkshire,6
2022,J05B,Windsor and Maidenhead,3
2022,J06B,Wokingham,10
2022,J08B,Milton Keynes,23
2022,J09B,Oxfordshire,34
2022,J10B,Brighton and Hove,42
2022,J11B,East Sussex,39
2022,J12B,West Sussex,48
2022,J13B,Kent,111
2022,J14B,Medway,25
2022,J15B,Hampshire,77
2022,J16B,Portsmouth,23
2022,J17B,Southampton,17
2022,J18B,Isle of Wight,10
2022,J19B,Surrey,40
2022,J20B,Buckinghamshire,19
2022,K01B,Bath and North East Somerset,8
2022,K02B,Bristol,52
2022,K03B,South Gloucestershire,11
2022,K04B,North Somerset,8
2022,K08B,Devon,63
2022,K09B,Plymouth,25
2022,K10B,Torbay,8
2022,K11B,Swindon,11
2022,K12B,Wiltshire,15
2022,K13B,Cornwall & Isles of Scilly,46
2022,K14B,Gloucestershire,36
2022,K16B,"Bournemouth, Christchurch and Poole",37
2022,K17B,Dorset,23
2022,K18B,Somerset,28
2023,00EQ,Cheshire East UA,35
2023,00EW,Cheshire West and Chester UA,21
2023,00KB,Bedford UA,7
2023,00KC,Central Bedfordshire UA,8
2023,A01B,Darlington,10
2023,A02B,County Durham,65
2023,A03B,Hartlepool,10
2023,A04B,Redcar and Cleveland,24
2023,A05B,Middlesbrough,20
2023,A06B,Stockton-On-Tees,23
2023,A07B,Newcastle upon Tyne,39
2023,A08B,North Tyneside,31
2023,A09B,Gateshead,32
2023,A10B,Northumberland,41
2023,A11B,South Tyneside,22
2023,A12B,Sunderland,39
2023,B01B,Salford,18
2023,B02B,Trafford,17
2023,B03B,Blackburn with Darwen,8
2023,B04B,Blackpool,36
2023,B05B,Lancashire,92
2023,B06B,Wirral,40
2023,B07B,Warrington,10
2023,B08B,Halton,11
