reg_year,dat,dat_nm,regdatrs_nm,area_code,gss_name
2022,D09B,Barnsley,Yorkshire and Humberside,E08000016,Barnsley
2022,J19B,Surrey,South East,E10000030,Surrey
2022,A12B,Sunderland,North East,E08000024,Sunderland
2022,G09B,Norfolk,Eastern,E10000020,Norfolk
2022,J12B,West Sussex,South East,E10000032,West Sussex
2022,B16B,Cumbria,North West,E10000006,Cumbria
2022,H20B,Hammersmith and Fulham,London,E09000013,Hammersmith and Fulham
2022,K13B,Cornwall & Isles of Scilly,South West,E06000052,Cornwall & Isles of Scilly
2022,00EW,Cheshire West and Chester,North West,E06000050,Cheshire West and Chester
2022,G10B,Suffolk,Eastern,E10000029,Suffolk
2022,G05B,Essex,Eastern,E10000012,Essex
2022,J15B,Hampshire,South East,E10000014,Hampshire
2022,F06B,Coventry,West Midlands,E08000026,Coventry
2022,B13B,Oldham,North West,E08000004,Oldham
2022,E08B,Lincolnshire,East Midlands,E10000019,Lincolnshire
2022,K02B,Bristol,South West,E06000023,Bristol
2022,B06B,Wirral,North West,E08000015,Wirral
2022,F11B,Walsall,West Midlands,E08000030,Walsall
2022,B05B,Lancashire,North West,E10000017,Lancashire
2022,J13B,Kent,South East,E10000016,Kent
2022,F05B,Birmingham,West Midlands,E08000025,Birmingham
2022,F10B,Solihull,West Midlands,E08000029,Solihull
2022,B07B,Warrington,North West,E06000007,Warrington
2022,E11B,North Northamptonshire,East Midlands,E06000061,North Northamptonshire
2022,J20B,Buckinghamshire,South East,E06000060,Buckinghamshire
2022,E04B,Derbyshire,East Midlands,E10000007,Derbyshire
2022,J04B,West Berkshire,South East,E06000037,West Berkshire
2022,B04B,Blackpool,North West,E06000009,Blackpool
2022,G04B,Peterborough,Eastern,E06000031,Peterborough
2022,A10B,Northumberland,North East,E06000057,Northumberland
2022,B09B,Rochdale,North West,E08000005,Rochdale
2022,H32B,Hillingdon,London,E09000017,Hillingdon
2022,J11B,East Sussex,South East,E10000011,East Sussex
2022,G03B,Cambridgeshire,Eastern,E10000003,Cambridgeshire
2022,B11B,Knowsley,North West,E08000011,Knowsley
2022,K08B,Devon,South West,E10000008,Devon
2022,A04B,Redcar and Cleveland,North East,E06000003,Redcar and Cleveland
2022,K17B,Dorset,South West,E06000059,Dorset
2022,D12B,Leeds,Yorkshire and Humberside,E08000035,Leeds
2022,D10B,Wakefield,Yorkshire and Humberside,E08000036,Wakefield
2022,K12B,Wiltshire,South West,E06000054,Wiltshire
2022,E06B,Nottinghamshire,East Midlands,E10000024,Nottinghamshire
2022,B19B,Sefton,North West,E08000014,Sefton
2022,H03B,Camden,London,E09000007,Camden
2022,F03B,Staffordshire,West Midlands,E10000028,Staffordshire
2022,D14B,Doncaster,Yorkshire and Humberside,E08000017,Doncaster
2022,D13B,Bradford,Yorkshire and Humberside,E08000032,Bradford
2022,K04B,North Somerset,South West,E06000024,North Somerset
2022,H17B,Ealing,London,E09000009,Ealing
2022,J18B,Isle of Wight,South East,E06000046,Isle of Wight
2022,D16B,North Yorkshire,Yorkshire and Humberside,E10000023,North Yorkshire
2022,E10B,North Northamptonshire,East Midlands,E06000061,North Northamptonshire
2022,J01B,Bracknell Forest,South East,E06000036,Bracknell Forest
2022,F09B,Sandwell,West Midlands,E08000028,Sandwell
2022,E01B,Leicestershire,East Midlands,E10000018,Leicestershire
2022,H06B,Hackney,London,E09000012,Hackney
2022,F04B,Stoke-on-Trent,West Midlands,E06000021,Stoke-on-Trent
2022,B21B,Stockport,North West,E08000007,Stockport
2022,B17B,Liverpool,North West,E08000012,Liverpool
2022,J09B,Oxfordshire,South East,E10000025,Oxfordshire
2022,D04B,Kirklees,Yorkshire and Humberside,E08000034,Kirklees
2022,K16B,"Bournemouth, Christchurch and Poole",South West,E06000058,"Bournemouth, Christchurch and Poole"
2022,F01B,Shropshire,West Midlands,E06000051,Shropshire
2022,E02B,Leicester,East Midlands,E06000016,Leicester
2022,J03B,Slough,South East,E06000039,Slough
2022,G08B,Hertfordshire,Eastern,E10000015,Hertfordshire
2022,H30B,Westminster,London,E09000033,Westminster
2022,A02B,County Durham,North East,E06000047,County Durham
2022,D03B,Calderdale,Yorkshire and Humberside,E08000033,Calderdale
2022,00EQ,Cheshire East,North West,E06000049,Cheshire East
2022,H21B,Haringey,London,E09000014,Haringey
2022,K14B,Gloucestershire,South West,E10000013,Gloucestershire
2022,H22B,Kensington and Chelsea,London,E09000020,Kensington and Chelsea
2022,A08B,North Tyneside,North East,E08000022,North Tyneside
2022,F08B,Herefordshire,West Midlands,E06000019,Herefordshire
2022,J14B,Medway,South East,E06000035,Medway
2022,H27B,Sutton,London,E09000029,Sutton
2022,H02B,Havering,London,E09000016,Havering
2022,H08B,Lewisham,London,E09000023,Lewisham
2022,K09B,Plymouth,South West,E06000026,Plymouth
2022,B18B,Manchester,North West,E08000003,Manchester
2022,H09B,Southwark,London,E09000028,Southwark
2022,J16B,Portsmouth,South East,E06000044,Portsmouth
2022,A01B,Darlington,North East,E06000005,Darlington
2022,D01B,Kingston upon Hull,Yorkshire and Humberside,E06000010,Kingston upon Hull
2022,F12B,Warwickshire,West Midlands,E10000031,Warwickshire
2022,B14B,Bolton,North West,E08000001,Bolton
2022,A05B,Middlesbrough,North East,E06000002,Middlesbrough
2022,J08B,Milton Keynes,South East,E06000042,Milton Keynes
2022,H07B,Lambeth,London,E09000022,Lambeth
2022,A07B,Newcastle upon Tyne,North East,E08000021,Newcastle upon Tyne
2022,B12B,Tameside,North West,E08000008,Tameside
2022,00KB,Bedford,Eastern,E06000055,Bedford
2022,A03B,Hartlepool,North East,E06000001,Hartlepool
2022,J10B,Brighton and Hove,South East,E06000043,Brighton and Hove
2022,J05B,Windsor and Maidenhead,South East,E06000040,Windsor and Maidenhead
2022,J06B,Wokingham,South East,E06000041,Wokingham
2022,B15B,Bury,North West,E08000002,Bury
2022,H16B,Croydon,London,E09000008,Croydon
2022,B01B,Salford,North West,E08000006,Salford
2022,J02B,Reading,South East,E06000038,Reading
2022,H15B,Bromley,London,E09000006,Bromley
2022,K18B,Somerset,South West,E10000027,Somerset
2022,A06B,Stockton-on-Tees,North East,E06000004,Stockton-on-Tees
2022,H33B,Hounslow,London,E09000018,Hounslow
2022,H18B,Enfield,London,E09000010,Enfield
2022,F13B,Wolverhampton,West Midlands,E08000031,Wolverhampton
2022,E05B,Derby,East Midlands,E06000015,Derby
2022,B03B,Blackburn with Darwen,North West,E06000008,Blackburn with Darwen
2022,F02B,Telford and Wrekin,West Midlands,E06000020,Telford and Wrekin
2022,D11B,Sheffield,Yorkshire and Humberside,E08000019,Sheffield
2022,D06B,York,Yorkshire and Humberside,E06000014,York
2022,F07B,Dudley,West Midlands,E08000027,Dudley
2022,F14B,Worcestershire,West Midlands,E10000034,Worcestershire
2022,D08B,North East Lincolnshire,Yorkshire and Humberside,E06000012,North East Lincolnshire
2022,B02B,Trafford,North West,E08000009,Trafford
2022,B22B,Wigan,North West,E08000010,Wigan
2022,H25B,Newham,London,E09000025,Newham
2022,B10B,St Helens,North West,E08000013,St Helens
2022,H10B,Redbridge,London,E09000026,Redbridge
2022,H26B,Richmond upon Thames,London,E09000027,Richmond upon Thames
2022,D15B,Rotherham,Yorkshire and Humberside,E08000018,Rotherham
2022,A09B,Gateshead,North East,E08000037,Gateshead
2022,K11B,Swindon,South West,E06000030,Swindon
2022,H01B,Barking and Dagenham,London,E09000002,Barking and Dagenham
2022,D07B,North Lincolnshire,Yorkshire and Humberside,E06000013,North Lincolnshire
2022,A11B,South Tyneside,North East,E08000023,South Tyneside
2022,E07B,Nottingham,East Midlands,E06000018,Nottingham
2022,H14B,Brent,London,E09000005,Brent
2022,H31B,Harrow,London,E09000015,Harrow
2022,G07B,Thurrock,Eastern,E06000034,Thurrock
2022,G06B,Southend-on-Sea,Eastern,E06000033,Southend-on-Sea
2022,G02B,Luton,Eastern,E06000032,Luton
2022,00KC,Central Bedfordshire,Eastern,E06000056,Central Bedfordshire
2022,J17B,Southampton,South East,E06000045,Southampton
2022,H29B,Wandsworth,London,E09000032,Wandsworth
2022,H04B,Islington,London,E09000019,Islington
2022,H12B,Barnet,London,E09000003,Barnet
2022,H11B,Waltham Forest,London,E09000031,Waltham Forest
2022,H24B,Merton,London,E09000024,Merton
2022,K10B,Torbay,South West,E06000027,Torbay
2022,H19B,Greenwich,London,E09000011,Greenwich
2022,K03B,South Gloucestershire,South West,E06000025,South Gloucestershire
2022,B08B,Halton,North West,E06000006,Halton
2022,H28B,Tower Hamlets,London,E09000030,Tower Hamlets
2022,D02B,East Riding of Yorkshire,Yorkshire and Humberside,E06000011,East Riding of Yorkshire
2022,K01B,Bath and North East Somerset,South West,E06000022,Bath and North East Somerset
2022,E03B,Rutland,East Midlands,E06000017,Rutland
2022,H13B,Bexley,London,E09000004,Bexley
2022,H23B,Kingston upon Thames,London,E09000021,Kingston upon Thames
2022,H05B,City of London,London,E09000001,City of London
2023,E04B,Derbyshire,East Midlands,E10000007,Derbyshire
2023,G06B,Southend-on-Sea,Eastern,E06000033,Southend-on-Sea
2023,D15B,Rotherham,Yorkshire and Humberside,E08000018,Rotherham
2023,J16B,Portsmouth,South East,E06000044,Portsmouth
2023,H16B,Croydon,London,E09000008,Croydon
2023,K02B,Bristol,South West,E06000023,Bristol
2023,K16B,"Bournemouth, Christchurch and Poole",South West,E06000058,"Bournemouth, Christchurch and Poole"
2023,E01B,Leicestershire,East Midlands,E10000018,Leicestershire
2023,F14B,Worcestershire,West Midlands,E10000034,Worcestershire
2023,J19B,Surrey,South East,E10000030,Surrey
2023,A10B,Northumberland,North East,E06000057,Northumberland
2023,D13B,Bradford,Yorkshire and Humberside,E08000032,Bradford
2023,A08B,North Tyneside,North East,E08000022,North Tyneside
2023,D11B,Sheffield,Yorkshire and Humberside,E08000019,Sheffield
2023,K18B,Somerset,South West,E10000027,Somerset
2023,J15B,Hampshire,South East,E10000014,Hampshire
2023,D14B,Doncaster,Yorkshire and Humberside,E08000017,Doncaster
2023,E08B,Lincolnshire,East Midlands,E10000019,Lincolnshire
2023,J13B,Kent,South East,E10000016,Kent
2023,J10B,Brighton and Hove,South East,E06000043,Brighton and Hove
2023,G09B,Norfolk,Eastern,E10000020,Norfolk
2023,H25B,Newham,London,E09000025,Newham
