code,level,age,sex,population_2022
E92000001,country,0,1,305081
E92000001,country,1,1,303201
E92000001,country,2,1,314338
E92000001,country,3,1,320870
E92000001,country,4,1,324786
E92000001,country,5,1,332687
E92000001,country,6,1,342680
E92000001,country,7,1,339519
E92000001,country,8,1,341572
E92000001,country,9,1,351180
E92000001,country,10,1,360252
E92000001,country,11,1,361384
E92000001,country,12,1,356627
E92000001,country,13,1,353934
E92000001,country,14,1,357058
E92000001,country,15,1,344199
E92000001,country,16,1,338370
E92000001,country,17,1,340215
E92000001,country,18,1,341672
E92000001,country,19,1,339162
E92000001,country,20,1,338319
E92000001,country,21,1,338389
E92000001,country,22,1,345333
E92000001,country,23,1,358405
E92000001,country,24,1,360393
E92000001,country,25,1,365952
E92000001,country,26,1,360458
E92000001,country,27,1,364247
E92000001,country,28,1,372730
E92000001,country,29,1,372891
E92000001,country,30,1,383766
E92000001,country,31,1,389571
E92000001,country,32,1,387673
E92000001,country,33,1,384614
E92000001,country,34,1,387872
E92000001,country,35,1,378778
E92000001,country,36,1,378159
E92000001,country,37,1,377162
E92000001,country,38,1,365474
E92000001,country,39,1,366095
E92000001,country,40,1,365716
E92000001,country,41,1,369082
E92000001,country,42,1,371785
E92000001,country,43,1,357548
E92000001,country,44,1,334057
E92000001,country,45,1,328451
E92000001,country,46,1,335723
E92000001,country,47,1,342567
E92000001,country,48,1,346674
E92000001,country,49,1,360419
E92000001,country,50,1,373388
E92000001,country,51,1,385363
E92000001,country,52,1,375791
E92000001,country,53,1,383976
E92000001,country,54,1,382550
E92000001,country,55,1,385620
E92000001,country,56,1,381730
E92000001,country,57,1,381994
E92000001,country,58,1,376158
E92000001,country,59,1,367031
E92000001,country,60,1,357667
E92000001,country,61,1,344918
E92000001,country,62,1,329845
E92000001,country,63,1,319448
E92000001,country,64,1,309720
E92000001,country,65,1,294558
E92000001,country,66,1,282292
E92000001,country,67,1,268525
E92000001,country,68,1,266443
E92000001,country,69,1,260409
E92000001,country,70,1,249450
E92000001,country,71,1,249080
E92000001,country,72,1,249065
E92000001,country,73,1,252979
E92000001,country,74,1,263625
E92000001,country,75,1,283089
E92000001,country,76,1,211580
E92000001,country,77,1,200400
E92000001,country,78,1,195034
E92000001,country,79,1,174091
E92000001,country,80,1,149571
E92000001,country,81,1,127662
E92000001,country,82,1,127182
E92000001,country,83,1,120059
E92000001,country,84,1,109871
E92000001,country,85,1,97454
E92000001,country,86,1,84702
E92000001,country,87,1,73426
E92000001,country,88,1,60862
E92000001,country,89,1,51373
E92000001,country,90,1,170961
E92000001,country,0,2,291308
E92000001,country,1,2,289614
E92000001,country,2,2,300486
E92000001,country,3,2,305485
E92000001,country,4,2,310206
E92000001,country,5,2,318012
E92000001,country,6,2,326420
E92000001,country,7,2,324199
E92000001,country,8,2,326397
E92000001,country,9,2,334323
E92000001,country,10,2,343941
E92000001,country,11,2,343683
E92000001,country,12,2,339745
E92000001,country,13,2,337221
E92000001,country,14,2,340444
E92000001,country,15,2,326783
E92000001,country,16,2,320332
E92000001,country,17,2,319237
E92000001,country,18,2,320850
E92000001,country,19,2,319276
E92000001,country,20,2,324981
E92000001,country,21,2,327164
E92000001,country,22,2,333718
E92000001,country,23,2,350933
E92000001,country,24,2,358919
E92000001,country,25,2,368166
E92000001,country,26,2,364173
E92000001,country,27,2,374196
E92000001,country,28,2,387653
E92000001,country,29,2,390804
E92000001,country,30,2,404450
E92000001,country,31,2,411089
E92000001,country,32,2,413311
E92000001,country,33,2,411611
E92000001,country,34,2,418078
E92000001,country,35,2,409290
E92000001,country,36,2,404070
E92000001,country,37,2,401988
E92000001,country,38,2,389484
E92000001,country,39,2,389487
E92000001,country,40,2,386110
E92000001,country,41,2,390715
E92000001,country,42,2,390931
E92000001,country,43,2,373512
E92000001,country,44,2,346374
E92000001,country,45,2,339272
E92000001,country,46,2,345855
E92000001,country,47,2,352993
E92000001,country,48,2,356882
E92000001,country,49,2,370238
E92000001,country,50,2,384203
E92000001,country,51,2,399629
E92000001,country,52,2,389004
E92000001,country,53,2,397129
E92000001,country,54,2,395541
E92000001,country,55,2,396674
E92000001,country,56,2,396568
E92000001,country,57,2,396700
E92000001,country,58,2,390534
E92000001,country,59,2,380690
E92000001,country,60,2,371139
E92000001,country,61,2,355399
E92000001,country,62,2,340403
E92000001,country,63,2,331318
E92000001,country,64,2,321158
E92000001,country,65,2,308545
E92000001,country,66,2,295709
E92000001,country,67,2,284923
E92000001,country,68,2,285437
E92000001,country,69,2,278924
E92000001,country,70,2,271460
E92000001,country,71,2,271486
E92000001,country,72,2,275608
E92000001,country,73,2,280127
E92000001,country,74,2,294842
E92000001,country,75,2,316379
E92000001,country,76,2,240291
E92000001,country,77,2,230369
E92000001,country,78,2,225984
E92000001,country,79,2,206543
E92000001,country,80,2,181398
E92000001,country,81,2,159103
E92000001,country,82,2,161481
E92000001,country,83,2,155575
E92000001,country,84,2,145758
E92000001,country,85,2,132931
E92000001,country,86,2,120253
E92000001,country,87,2,107756
E92000001,country,88,2,93503
E92000001,country,89,2,82262
E92000001,country,90,2,349365
