sex,year,all_drug_poisoning,drug_misuse
Persons,2023,5053,3353
Persons,2022,4572,2906
Persons,2021,4532,2846
Persons,2020,4312,2830
Persons,2019,4115,2685
Persons,2018,3983,2670
Persons,2017,3482,2310
Persons,2016,3450,2386
Persons,2015,3416,2300
Persons,2014,3156,2120
Persons,2013,2734,1812
Persons,2012,2367,1492
Persons,2011,2425,1582
Persons,2010,2509,1734
Persons,2009,2675,1826
Persons,2008,2734,1862
Persons,2007,2433,1668
Persons,2006,2396,1523
Persons,2005,2589,1567
Persons,2004,2606,1479
Persons,2003,2425,1358
Persons,2002,2624,1558
Persons,2001,2884,1735
Persons,2000,2758,1557
Persons,1999,2932,1569
Persons,1998,2811,1405
Persons,1997,2644,1240
Persons,1996,2478,1107
Persons,1995,2388,1026
Persons,1994,2226,926
Persons,1993,2069,787
