period,area_code,area_name,age,count
2022,E06000001,Hartlepool,740,15
2022,E06000002,Middlesbrough,1508,32
2022,E06000003,Redcar and Cleveland,1194,25
2022,E06000004,Stockton-on-Tees,1133,22
2022,E06000005,Darlington,526,10
2022,E06000006,Halton,742,15
2022,E06000007,Warrington,1019,21
2022,E06000008,Blackburn with Darwen,1056,21
2022,E06000009,Blackpool,1744,34
2022,E06000010,"Kingston upon Hull, City of",2756,54
2022,E06000011,East Riding of Yorkshire,684,13
2022,E06000012,North East Lincolnshire,717,15
2022,E06000013,North Lincolnshire,408,9
2022,E06000014,York,917,19
2022,E06000015,Derby,1247,26
2022,E06000016,Leicester,1510,29
2022,E06000017,Rutland,67,1
2022,E06000018,Nottingham,1596,33
2022,E06000019,"Herefordshire, County of",889,16
2022,E06000020,Telford and Wrekin,525,11
2022,E06000021,Stoke-on-Trent,1695,37
2022,E06000022,Bath and North East Somerset,414,9
2022,E06000023,"Bristol, City of",2374,46
2022,E06000024,North Somerset,843,15
2022,E06000025,South Gloucestershire,439,9
2022,E06000026,Plymouth,1218,24
2022,E06000027,Torbay,1112,20
2022,E06000030,Swindon,769,16
2022,E06000031,Peterborough,400,9
2022,E06000032,Luton,840,16
2022,E06000033,Southend-on-Sea,1045,20
2022,E06000034,Thurrock,980,19
2022,E06000035,Medway,1109,22
2022,E06000036,Bracknell Forest,326,6
2022,E06000037,West Berkshire,185,4
2022,E06000038,Reading,1022,22
2022,E06000039,Slough,945,18
2022,E06000040,Windsor and Maidenhead,250,5
2022,E06000041,Wokingham,199,3
2022,E06000042,Milton Keynes,663,14
2022,E06000043,Brighton and Hove,2312,45
2022,E06000044,Portsmouth,1261,24
2022,E06000045,Southampton,1132,22
2022,E06000046,Isle of Wight,334,7
2022,E06000047,County Durham,2537,54
2022,E06000049,Cheshire East,1491,28
2022,E06000050,Cheshire West and Chester,1213,24
2022,E06000051,Shropshire,650,13
2022,E06000052,Cornwall & Isles of Scily,2148,45
2022,E06000054,Wiltshire,579,13
2022,E06000055,Bedford,494,11
2022,E06000056,Central Bedfordshire,277,6
2022,E06000057,Northumberland,929,21
2022,E06000058,"Bournemouth, Christchurch and Poole",1686,32
2022,E06000059,Dorset,1077,21
2022,E06000060,Buckinghamshire,852,16
2022,E06000061,North Northamptonshire,1025,20
2022,E06000062,West Northamptonshire,949,23
2022,E08000001,Bolton,2434,49
2022,E08000002,Bury,1119,20
2022,E08000003,Manchester,4219,90
2022,E08000004,Oldham,1492,30
2022,E08000005,Rochdale,2003,37
2022,E08000006,Salford,2329,45
2022,E08000007,Stockport,1053,21
2022,E08000008,Tameside,1844,37
2022,E08000009,Trafford,747,14
2022,E08000010,Wigan,2609,52
2022,E08000011,Knowsley,960,19
2022,E08000012,Liverpool,5734,114
2022,E08000013,St. Helens,1705,36
2022,E08000014,Sefton,1770,35
2022,E08000015,Wirral,3294,63
2022,E08000016,Barnsley,986,21
2022,E08000017,Doncaster,1117,22
2022,E08000018,Rotherham,1596,31
2022,E08000019,Sheffield,1750,32
2022,E08000021,Newcastle upon Tyne,1133,23
2022,E08000022,North Tyneside,583,13
2022,E08000023,South Tyneside,903,16
2022,E08000024,Sunderland,1330,28
2022,E08000025,Birmingham,6196,128
2022,E08000026,Coventry,1451,27
2022,E08000027,Dudley,763,17
2022,E08000028,Sandwell,1091,23
2022,E08000029,Solihull,863,17
2022,E08000030,Walsall,826,18
2022,E08000031,Wolverhampton,728,14
